CandidateValue,BaseName,BaseValue,N_multiple,Approx_N_times_Base,AbsError,RelError,Ratio,Ratio_p,Ratio_q,RatioApprox
-584.5484244582616,Three,3.0,-20,-60.0,524.5484244582616,0.8973566645815428,-194.84947481942052,-10327,53,-194.8490566037736
-518.62890439761,GoldenRatio_phi,1.61803398875,-20,-32.360679775,486.26822462261,0.937603401004834,-320.53029046582196,-15706,49,-320.53061224489795
-518.62890439761,PhiSquared,2.618033988750235,-20,-52.3606797750047,466.26822462260526,0.8990401820434172,-198.09861393174145,-12084,61,-198.0983606557377
-518.62890439761,Pi,3.141592653589793,-20,-62.83185307179586,455.7970513258141,0.878850074612067,-165.0847075304273,-9740,59,-165.08474576271186
-518.62890439761,Euler_e,2.718281828459045,-20,-54.3656365691809,464.2632678284291,0.8951743026503183,-190.79291152515015,-5533,29,-190.79310344827587
-518.62890439761,Sqrt2,1.4142135623730951,-20,-28.284271247461902,490.34463315014807,0.945463372736014,-366.72601521889965,-22737,62,-366.7258064516129
-518.62890439761,Sqrt3,1.7320508075688772,-20,-34.64101615137754,483.98788824623244,0.9332065454554385,-299.4305375634808,-17367,58,-299.4310344827586
-518.62890439761,OneHalf,0.5,-20,-10.0,508.62890439761,0.9807183905192962,-1037.25780879522,-32155,31,-1037.258064516129
-518.62890439761,One,1.0,-20,-20.0,498.62890439761,0.9614367810385923,-518.62890439761,-32155,62,-518.6290322580645
-518.62890439761,ThreeHalves,1.5,-20,-30.0,488.62890439761,0.9421551715578885,-345.75260293174,-21091,61,-345.75409836065575
-518.62890439761,Two,2.0,-20,-40.0,478.62890439761,0.9228735620771846,-259.314452198805,-9076,35,-259.3142857142857
-518.62890439761,Three,3.0,-20,-60.0,458.62890439761,0.8843103431157769,-172.87630146587,-9854,57,-172.87719298245614
-349.79669694269256,GoldenRatio_phi,1.61803398875,-20,-32.360679775,317.43601716769257,0.9074871773866359,-216.1862478630164,-12755,59,-216.1864406779661
-349.79669694269256,PhiSquared,2.618033988750235,-20,-52.3606797750047,297.43601716768785,0.8503111086163773,-133.61044907964478,-7883,59,-133.61016949152543
-349.79669694269256,Pi,3.141592653589793,-20,-62.83185307179586,286.9648438708967,0.820376082390253,-111.3437467912944,-3563,32,-111.34375
-349.79669694269256,Euler_e,2.718281828459045,-20,-54.3656365691809,295.4310603735117,0.8445793312391179,-128.68301339489412,-5276,41,-128.6829268292683
-349.79669694269256,Sqrt2,1.4142135623730951,-20,-28.284271247461902,321.51242569523066,0.9191408281019425,-247.34361644483357,-7915,32,-247.34375
-349.79669694269256,Sqrt3,1.7320508075688772,-20,-34.64101615137754,315.15568079131504,0.9009681439128833,-201.9552171415055,-9088,45,-201.95555555555555
-349.79669694269256,OneHalf,0.5,-20,-10.0,339.79669694269256,0.9714119656148774,-699.5933938853851,-41276,59,-699.5932203389831
