Event,Detector,Constant,ObservedCount,ExpectedPerSegment,StdPerSegment,ZScore,ChiSquareApprox,PValueApprox
170405-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170405-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170405-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170412-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170412-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170412-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170412-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170412-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170412-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170423-v1,H1,Feigenbaum Alpha,1,0.2012,0.4464510723472394,1.7892218195384053,3.2013147195123217,0.07357909901492647
170423-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170423-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170423-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170423-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
170423-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151008-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151008-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151008-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151008-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151008-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151008-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151012.2-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151012.2-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151012.2-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151012.2-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151012.2-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151012.2-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151116-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151116-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151116-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151116-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151116-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
151116-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161202-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161202-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161202-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161202-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161202-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161202-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161217-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161217-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161217-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161217-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161217-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
161217-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170208-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170208-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170208-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170208-v1,H1,Khinchin’s Constant,1,0.7972,0.891107266270453,0.22758202932041824,0.05179358006959971,0.8199711918959717
170208-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170208-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170219-v1,H1,Khinchin’s Constant,1,0.7972,0.891107266270453,0.22758202932041824,0.05179358006959971,0.8199711918959717
170219-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170219-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170219-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170219-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170219-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170405-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
170405-v1,H1,Khinchin’s Constant,0,0.7972,0.891107266270453,-0.894617326302946,0.8003401605214318,0.3709916865816124
