Event,Detector,WindowType,Domain,Constant,Count
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Earth Mass (kg),0
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Earth Radius (m),0
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Earth Radius (m),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Earth Radius (m),0
151116-v1,H1,LEGACY_120s,AMP_P2P,Golden Ratio,258
151116-v1,H1,LEGACY_120s,AMP_P2D,Golden Ratio,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Golden Ratio,247
151116-v1,H1,LEGACY_120s,AMP_P2P,Phi Squared,46
151116-v1,H1,LEGACY_120s,AMP_P2D,Phi Squared,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Phi Squared,48
151116-v1,H1,LEGACY_120s,AMP_P2P,Pi,29
151116-v1,H1,LEGACY_120s,AMP_P2D,Pi,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Pi,29
151116-v1,H1,LEGACY_120s,AMP_P2P,Two Pi,5
151116-v1,H1,LEGACY_120s,AMP_P2D,Two Pi,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Two Pi,4
151116-v1,H1,LEGACY_120s,AMP_P2P,Euler’s Number,49
151116-v1,H1,LEGACY_120s,AMP_P2D,Euler’s Number,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Euler’s Number,37
151116-v1,H1,LEGACY_120s,AMP_P2P,Euler–Mascheroni Constant,578
151116-v1,H1,LEGACY_120s,AMP_P2D,Euler–Mascheroni Constant,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Euler–Mascheroni Constant,589
151116-v1,H1,LEGACY_120s,AMP_P2P,Square Root of 2,581
151116-v1,H1,LEGACY_120s,AMP_P2D,Square Root of 2,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Square Root of 2,538
151116-v1,H1,LEGACY_120s,AMP_P2P,Square Root of 3,205
151116-v1,H1,LEGACY_120s,AMP_P2D,Square Root of 3,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Square Root of 3,194
151116-v1,H1,LEGACY_120s,AMP_P2P,Square Root of 5,76
151116-v1,H1,LEGACY_120s,AMP_P2D,Square Root of 5,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Square Root of 5,64
151116-v1,H1,LEGACY_120s,AMP_P2P,Golden Ratio Conjugate,724
151116-v1,H1,LEGACY_120s,AMP_P2D,Golden Ratio Conjugate,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Golden Ratio Conjugate,708
151116-v1,H1,LEGACY_120s,AMP_P2P,Plastic Constant,854
151116-v1,H1,LEGACY_120s,AMP_P2D,Plastic Constant,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Plastic Constant,912
151116-v1,H1,LEGACY_120s,AMP_P2P,Apéry’s Constant (zeta(3)),2335
151116-v1,H1,LEGACY_120s,AMP_P2D,Apéry’s Constant (zeta(3)),0
151116-v1,H1,LEGACY_120s,AMP_D2D,Apéry’s Constant (zeta(3)),2324
151116-v1,H1,LEGACY_120s,AMP_P2P,Catalan’s Constant,12982
151116-v1,H1,LEGACY_120s,AMP_P2D,Catalan’s Constant,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Catalan’s Constant,12909
151116-v1,H1,LEGACY_120s,AMP_P2P,Feigenbaum Delta,7
151116-v1,H1,LEGACY_120s,AMP_P2D,Feigenbaum Delta,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Feigenbaum Delta,9
151116-v1,H1,LEGACY_120s,AMP_P2P,Feigenbaum Alpha,36
151116-v1,H1,LEGACY_120s,AMP_P2D,Feigenbaum Alpha,0
151116-v1,H1,LEGACY_120s,AMP_D2D,Feigenbaum Alpha,50
151116-v1,H1,LEGACY_120s,AMP_P2P,Khinchin’s Constant,49
