BinIndex,BinCenter,ObsCount,ExpCount,StdCount,ZScore,ChiSquareApprox
190,1525.521481351108,0.0,427.314,19.504753369371265,-21.908198063709968,479.9691423987452
191,1544.2371226659195,0.0,427.516,20.131610566469828,-21.23605553507222,450.97005468867155
192,1562.952763980731,0.0,428.922,20.299850147230156,-21.129318536300868,446.44810180846747
193,1581.6684052955425,0.0,428.45,20.254567386147762,-21.153253576426415,447.4601368685969
194,1600.384046610354,0.0,427.902,21.55468385293554,-19.85192651952183,394.09898653649407
195,1619.0996879251657,0.0,427.522,21.21173062246455,-20.154979695396822,406.2232065218582
196,1637.8153292399772,0.0,429.004,21.677730139477244,-19.790079368999166,391.64724143128643
197,1656.5309705547888,0.0,428.102,20.650510792714062,-20.730818927299534,429.7668533964806
198,1675.2466118696004,0.0,428.612,19.80417774107272,-21.642504203094656,468.3979881809699
199,1693.962253184412,0.0,429.902,19.881659789866642,-21.623043777215926,467.5560221913964
200,1712.6778944992236,0.0,426.272,20.727035871054998,-20.565989399153914,422.95991996611116
201,1731.3935358140352,0.0,429.678,19.75455177927357,-21.750835189832916,473.0988314552739
202,1750.1091771288468,0.0,428.114,20.957027556406935,-20.42818328351713,417.3106722649687
203,1768.8248184436584,0.0,429.832,21.975526751365944,-19.55957665375565,382.577038874143
204,1787.54045975847,0.0,428.154,21.0642418330212,-20.326105415710128,413.1505613705606
205,1806.2561010732816,0.0,428.078,21.17035464983995,-20.22063432948849,408.87405268688843
206,1824.9717423880932,0.0,428.728,20.24840773986932,-21.173417955024195,448.31362789814096
207,1843.6873837029048,0.0,427.65,21.201025918572896,-20.171193679139957,406.8770544413758
208,1862.4030250177163,0.0,428.96,20.10408913629264,-21.336952750852344,455.2655526921054
209,1881.118666332528,0.0,428.34,20.16125988126734,-21.24569607864578,451.3796018661846
210,1899.8343076473395,0.0,428.824,20.843248883031656,-20.573759993294647,423.27960026169137
211,1918.5499489621511,0.0,427.292,20.981104260739002,-20.365562969894405,414.75615508073423
212,1937.2655902769627,0.0,429.072,20.963559239785642,-20.467516755727562,418.9192421459885
213,1955.9812315917743,0.0,429.83,21.62797031623634,-19.873802012633714,394.96800643736384
214,1974.6968729065857,0.0,427.546,20.949651166546897,-20.408263440811833,416.49721666957686
215,1993.4125142213973,0.0,427.608,20.196592187792465,-21.172284711401037,448.26563990062607
216,2012.1281555362089,0.0,429.188,21.429247676948442,-20.02814128009169,401.12644313531274
217,2030.8437968510204,0.0,429.244,21.025424228775986,-20.4154739200232,416.79157537914745
218,2049.559438165832,0.0,428.464,20.258348994920574,-21.149995989674668,447.32233036325454
219,2068.2750794806434,0.0,428.87,20.747363687948404,-20.671060017573186,427.2927222501128
