Event,Detector,Constant,Count,RankWithinEvent
161217-v1,L1,Reduced Planck Constant (J·s),0,19
161217-v1,L1,Solar Mass (kg),0,20
161217-v1,L1,Solar Radius (m),0,21
161217-v1,L1,Speed of Light (m/s),0,22
161217-v1,L1,Square Root of 2,0,23
161217-v1,L1,Square Root of 3,0,24
161217-v1,L1,Square Root of 5,0,25
161217-v1,L1,Tau Mass (kg),0,26
161217-v1,L1,Planck Time (s),0,27
161217-v1,L1,Hubble Constant (km/s/Mpc),0,28
161217-v1,L1,Neutron Mass (kg),0,29
161217-v1,L1,Earth Mass (kg),0,30
161217-v1,L1,Astronomical Unit (m),0,31
161217-v1,L1,Avogadro Constant (1/mol),0,32
161217-v1,L1,Baryon-to-Photon Ratio,0,33
161217-v1,L1,Boltzmann Constant (J/K),0,34
161217-v1,L1,Cosmic Microwave Background Temp (K),0,35
161217-v1,L1,Coulomb Constant (N m^2 C^-2),0,36
161217-v1,L1,Critical Density (kg/m^3),0,37
161217-v1,L1,Earth Radius (m),0,38
161217-v1,L1,Muon Mass (kg),0,39
161217-v1,L1,Electron Mass (kg),0,40
161217-v1,L1,Elementary Charge (C),0,41
161217-v1,L1,Euler’s Number,0,42
161217-v1,L1,Feigenbaum Delta,0,43
161217-v1,L1,Fine-Structure Constant,0,44
161217-v1,L1,Gas Constant R (J/(mol·K)),0,45
161217-v1,L1,Gravitational Constant (m^3 kg^-1 s^-2),0,46
161217-v1,L1,Two Pi,0,47
170208-v1,H1,Catalan’s Constant,20,1
170208-v1,H1,Golden Ratio Conjugate,19,2
170208-v1,H1,Euler–Mascheroni Constant,18,3
170208-v1,H1,Golden Ratio,17,4
170208-v1,H1,Apéry’s Constant (zeta(3)),12,5
170208-v1,H1,Plastic Constant,8,6
170208-v1,H1,Fine-Structure Constant,5,7
170208-v1,H1,Absolute Zero (K),4,8
170208-v1,H1,Reduced Planck Constant (J·s),4,9
170208-v1,H1,Planck Length (m),4,10
170208-v1,H1,Planck Constant (J·s),4,11
170208-v1,H1,Planck Charge (C),4,12
170208-v1,H1,Planck Time (s),4,13
170208-v1,H1,Neutron Mass (kg),4,14
170208-v1,H1,Muon Mass (kg),4,15
170208-v1,H1,Gravitational Constant (m^3 kg^-1 s^-2),4,16
170208-v1,H1,Proton Mass (kg),4,17
170208-v1,H1,Planck Mass (kg),4,18
170208-v1,H1,Boltzmann Constant (J/K),4,19
170208-v1,H1,Elementary Charge (C),4,20
170208-v1,H1,Electron Mass (kg),4,21
170208-v1,H1,Tau Mass (kg),4,22
170208-v1,H1,Baryon-to-Photon Ratio,4,23
170208-v1,H1,Critical Density (kg/m^3),4,24
170208-v1,H1,Pi,1,25
170208-v1,H1,Phi Squared,1,26
170208-v1,H1,Square Root of 2,1,27
170208-v1,H1,Khinchin’s Constant,1,28
170208-v1,H1,Square Root of 3,0,29
170208-v1,H1,Solar Mass (kg),0,30
170208-v1,H1,Speed of Light (m/s),0,31
170208-v1,H1,Square Root of 5,0,32
170208-v1,H1,Solar Radius (m),0,33
170208-v1,H1,Planck Temperature (K),0,34
170208-v1,H1,Hubble Constant (km/s/Mpc),0,35
170208-v1,H1,Parsec (m),0,36
170208-v1,H1,Gas Constant R (J/(mol·K)),0,37
170208-v1,H1,Feigenbaum Delta,0,38
170208-v1,H1,Feigenbaum Alpha,0,39
170208-v1,H1,Euler’s Number,0,40
170208-v1,H1,Earth Radius (m),0,41
170208-v1,H1,Earth Mass (kg),0,42
170208-v1,H1,Coulomb Constant (N m^2 C^-2),0,43
170208-v1,H1,Cosmic Microwave Background Temp (K),0,44
170208-v1,H1,Avogadro Constant (1/mol),0,45
170208-v1,H1,Astronomical Unit (m),0,46
170208-v1,H1,Two Pi,0,47
170208-v1,L1,Euler–Mascheroni Constant,53,1
170208-v1,L1,Golden Ratio Conjugate,53,2
170208-v1,L1,Golden Ratio,49,3
170208-v1,L1,Catalan’s Constant,36,4
